url,title,brand,manufacturer,price,package_size_of_price,price_per_unit,sku,manufacturer_part_no,unspsc_code,color,type,material,plate_configuration,grade,product_weight,overall_height,overall_width,number_of_gangs,unit_of_meassurement,express_available,breadcrumbs,image_url,description,features,applications
https://www.fastenal.com/product/details/922570377,Wallplate Mid-Size 1-Gang Box Mount Blank White,BRYANT,HUBBELL,55.75,25,2.23,922570377,PJ13W,39121704,White,Wall Plate,Polycarbonate,Blank,Industrial / Commercial / Residential,0.06,"4.94""","3.15""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img1.fastenal.com/infp360pmm/derivates/3/001/766/561/$v2/0778935_primary_eng.jpg'],"Hubbell's line of polycarbonate wallplates features larger standard sized wallplates to provide extra coverage to hide rough box opening, improved aesthetics, greater strength, impact resistance, along with easy to clean finish in all different types of environments.Hubbell's standard sized wallplates are ¹⁄8 inch larger to provide you that extra coverage to hide rough box openings. The depth is ¼ inch so that it will comfortably fit over the device even on imperfect installations or on retrofit work.","Blends into wall with an optimum finishSmooth satin finishSharp lines and less dimplingMore RigidHigh-impact, self-extinguishing polycarbonate material","Industrial, Commercial, Institutional, and Residential use;Protection against contact of live terminals and wiring. Provides finished look to installation."
https://www.fastenal.com/product/details/922570401,Wallplate 2-Gang 2 Box Mount Blank Ivory,BRYANT,HUBBELL,131.50,25,5.26,922570401,P23I,39121704,Ivory,Wall Plate,Polycarbonate,Blank,Industrial / Commercial / Residential,0.08,"4.63""","4.69""",2,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img2.fastenal.com/infp360pmm/derivates/3/001/766/932/$v2/922570401_primary_eng.jpg'],"Hubbell's line of polycarbonate wallplates features larger standard sized wallplates to provide extra coverage to hide rough box opening, improved aesthetics, greater strength, impact resistance, along with easy to clean finish in all different types of environments.Hubbell's standard sized wallplates are ¹⁄8 inch larger to provide you that extra coverage to hide rough box openings. The depth is ¼ inch so that it will comfortably fit over the device even on imperfect installations or on retrofit work.","Blends into wall with an optimum finishSmooth satin finishSharp lines and less dimplingMore RigidHigh-impact, self-extinguishing polycarbonate material","Industrial, Commercial, Institutional, and Residential use;Protection against contact of live terminals and wiring. Provides finished look to installation."
https://www.fastenal.com/product/details/922570381,Wallplate 2-Gang 2) Decorator White,BRYANT,HUBBELL,154.50,25,6.18,922570381,P262W,39121704,White,Wall Plate,Polycarbonate,,Industrial / Commercial / Residential,0.08,"4.63""","4.69""",2,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img0.fastenal.com/infp360pmm/derivates/3/001/766/975/$v2/922570381_primary_eng.jpg'],"Hubbell's line of polycarbonate wallplates features larger standard sized wallplates to provide extra coverage to hide rough box opening, improved aesthetics, greater strength, impact resistance, along with easy to clean finish in all different types of environments.Hubbell's standard sized wallplates are ¹⁄8 inch larger to provide you that extra coverage to hide rough box openings. The depth is ¼ inch so that it will comfortably fit over the device even on imperfect installations or on retrofit work.","Blends into wall with an optimum finishSmooth satin finishSharp lines and less dimplingMore RigidHigh-impact, self-extinguishing polycarbonate material","Industrial, Commercial, Institutional, and Residential use;Protection against contact of live terminals and wiring. Provides finished look to installation."
https://www.fastenal.com/product/details/0743900,Grey 1Gang Horizontal-Duplex Opening Weatherproof Wall Plate Cover,BRYANT,HUBBELL,17.29,,17.29,0743900,RW51810,39121704,Gray,Wall Plate,Die Cast Zinc,,Weatherproof,0.45,"2.82""","4.57""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img0.fastenal.com/infp360pmm/derivates/3/001/341/830/0743900.jpg'],1-Gang Weatherproof Covers for Horizontal Mounting,"Zinc die cast, gray, duplex cover for device mounting. 2.82"" x 4.57"" x 0.79""",Covers are designed for use whenever weatherproof protection is required while an outlet is in use. This line includes one and two gang covers with standard and jumbo depths.
https://www.fastenal.com/product/details/922570306,Wallplate 1-Gang 1) Decorator Ivory,BRYANT,HUBBELL,65.00,25,2.60,922570306,P26I,39121704,Ivory,Wall Plate,Polycarbonate,,Industrial / Commercial / Residential,0.04,"4.63""","2.88""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img1.fastenal.com/infp360pmm/derivates/3/001/766/861/$v2/922570306_primary_eng.jpg'],"Hubbell's line of polycarbonate wallplates features larger standard sized wallplates to provide extra coverage to hide rough box opening, improved aesthetics, greater strength, impact resistance, along with easy to clean finish in all different types of environments.Hubbell's standard sized wallplates are ¹⁄8 inch larger to provide you that extra coverage to hide rough box openings. The depth is ¼ inch so that it will comfortably fit over the device even on imperfect installations or on retrofit work.","Captive screw feature on single-gang versions, hold screws in place for quick installationBlends into wall with an optimum finishSmooth satin finishSharp lines and less dimplingMore RigidHigh-impact, self-extinguishing polycarbonate material","Industrial, Commercial, Institutional, and Residential use;Protection against contact of live terminals and wiring. Provides finished look to installation."
https://www.fastenal.com/product/details/0745131,"302/304SS 1Gang 1.40"" Opening Single Receptacle Wall Plate",BRYANT,HUBBELL,5.65,,5.65,0745131,SS7,39121704,Silver,Wall Plate,Stainless Steel,Single Receptacle,,0.15,"4.50""","2.87""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img1.fastenal.com/infp360pmm/derivates/3/001/166/416/0745131.jpg'],"Hubbell offers a wide variety of configurations, sizes, and finishes in both metal and nylon wall plates for use in industrial, institutional, commercial, and residential applications. We offer finishes in nylon, aluminum, brass, brass plated, chrome, and stainless steel. We have totally redesigned and expanded our line of nylon wall plates featuring larger standard sized wall plates to give extra coverage to hide rough box opening, improved aesthetics, greater strength, impact resistance, along with excellent cleanability in all different types of environments.","Used with Single Receptacles with Face Dia. 1.40"" (35.6)",Stainless Steel Wall Plate For Industrial Applications
https://www.fastenal.com/product/details/922570408,2 Gang Ivory Duplex Receptacle Wall Plate,BRYANT,HUBBELL,59.50,25,2.38,922570408,P82I,39121704,Ivory,Wall Plate,Polycarbonate,Duplex Receptacle,Industrial / Commercial / Residential,0.08,"4.63""","4.69""",2,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img1.fastenal.com/infp360pmm/derivates/3/001/766/926/$v2/922570408_primary_eng.jpg'],"Hubbell's line of polycarbonate wallplates features larger standard sized wallplates to provide extra coverage to hide rough box opening, improved aesthetics, greater strength, impact resistance, along with easy to clean finish in all different types of environments.Hubbell's standard sized wallplates are ¹⁄8 inch larger to provide you that extra coverage to hide rough box openings. The depth is ¼ inch so that it will comfortably fit over the device even on imperfect installations or on retrofit work.","Blends into wall with an optimum finishSmooth satin finishSharp lines and less dimplingMore RigidHigh-impact, self-extinguishing polycarbonate material","Industrial, Commercial, Institutional, and Residential use;Protection against contact of live terminals and wiring. Provides finished look to installation."
https://www.fastenal.com/product/details/0703553,GFCI RAYNTITE Single-Gang Device Cover,RACO,HUBBELL,603.36,24,25.14,0703553,5028-0,39121704,Gray,Wall Plate,Die Cast Aluminum,,,0.4167,"4.50""","2.75""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates","['https://img4.fastenal.com/infp360pmm/derivates/3/001/348/679/0703553.jpg', 'https://img2.fastenal.com/infp360pmm/derivates/3/001/118/999/0703553_Product2_eng.jpg']",,"Rugged diecast construction,State-of-the-art powder coat finish provides maximum weatherability and scratch-resistance,Self-closing lids assure weatherproof protection when the receptacle is not in use,Vertical mount covers padlockable,May be mounted to box or device,Includes gasket and mounting hardware,Multi-lingual instructions in each package",For use whenever weatherproof protection is required for an outdoor receptacle.
https://www.fastenal.com/product/details/0703929,BRY-Silver 20/30AMP Pwr Receptacle Wall Plate,BRYANT,HUBBELL,28.00,10,2.80,0703929,SS720,39121704,Silver,Wall Plate,Stainless Steel,Single Receptacle,,0.11,"4.50""","2.75""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img0.fastenal.com/infp360pmm/derivates/3/001/766/585/$v2/0703929_primary_eng.jpg'],Rounded edges to prevent injury and wall damageStandard stainless steel: Type 302/304 (0.040 in. thick)Comes with screws,"Used with Single Receptacles with Face Dia. 1.60"" (40.6)",
https://www.fastenal.com/product/details/0700719,"4.00"" W Gray Steel Wall Plate",RACO,HUBBELL,3.77,,3.77,0700719,8769,39121704,Gray,Wall Plate,Steel,,,0.104,"0.63""","4.00""",,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img2.fastenal.com/infp360pmm/derivates/3/001/523/0703475.jpg'],,Angled mounting slots compensate up to 12&deg;For box misalignment,Raised device covers are used for mounting switches or receptacles. Low voltage partitions may be added to conduit-type boxes to divide power from voice/data.
