2026-01-28 03:43:57,452 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:43:57,452 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/beauty/shop-by-product/makeup/view-all.html
2026-01-28 03:43:57,553 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/beauty/shop-by-product/makeup/view-all.html is 403
2026-01-28 03:43:57,554 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:43:57,554 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:43:57,554 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:49:24,975 | INFO | handm_scraper | fetched data successfully from mongoDB
2026-01-28 03:49:24,984 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/home/shop-by-product/view-all.html
2026-01-28 03:49:27,122 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/home/shop-by-product/view-all.html is 200
2026-01-28 03:49:28,663 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:49:28,663 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:49:28,663 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:49:28,663 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/kids/girls-9-14y/clothing/view-all.html
2026-01-28 03:49:29,307 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/kids/girls-9-14y/clothing/view-all.html is 200
2026-01-28 03:49:30,456 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:49:30,457 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:49:30,457 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:49:30,457 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/kids/girls/clothing/view-all.html
2026-01-28 03:49:31,074 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/kids/girls/clothing/view-all.html is 200
2026-01-28 03:49:31,993 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:49:31,993 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:49:31,993 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:49:31,993 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/kids/girls/sportswear/view-all.html
2026-01-28 03:49:32,398 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/kids/girls/sportswear/view-all.html is 200
2026-01-28 03:49:33,325 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:49:33,325 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:49:33,325 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:49:33,325 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/baby/newborn/outerwear/view-all.html
2026-01-28 03:49:33,640 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/baby/newborn/outerwear/view-all.html is 200
2026-01-28 03:49:34,557 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:49:34,557 | ERROR | handm_scraper | Request blocked or failed
