unique_id,url,productname,brand,selling_price,regular_price,discount,description,specification,fit_type,image,rating,review,size,colour
161203343,https://www.academy.com/p/row-men-s-arise-t-shirt,ARISE TEE,R.O.W.,24.99,24.99,,"Stay comfortable wherever the day takes you in the ROW Men’s Arise T-shirt. It’s made from a blend of cotton and polyester for a soft feel, and the high-lo hem adds modern style.","{'Compression': ' No', 'Clothing Type': ' Casual Shirts,T-Shirts', 'Neckline': ' Crew Neck', 'Sleeve length': ' Short Sleeve', 'Activity': ' Lifestyle', 'Material': ' 53% Cotton, 35% Recycled Polyester, 12% Polyester', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' No', 'Product Type': ' Shirts', 'Flame Resistant': ' No', 'Age Group': "" Adults'"", 'Style': ' T-Shirts'}",,"https://academy.scene7.com/is/image/academy/21580318?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21580319?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21580320?$pdp-xl-ng$",,,"Small,Medium,XXX Large,X Large,XX Large,Large",Black
161201575,https://www.academy.com/p/row-men-s-simon-crew-pullover,SIMON CREW PULLOVER,R.O.W.,34.99,34.99,,"Prepare for the chilly weather with a cozy ROW Men’s Simon Crew Pullover. It’s made from a blend of polyester, rayon and spandex for lasting durability, and the bubble jacquard fabric appearance adds a stylish look.","{'Clothing Type': ' Casual Shirts', 'Neckline': ' Crew Neck', 'Sleeve length': ' Long Sleeve', 'Activity': ' Lifestyle', 'Material': ' 50% Recycled Polyester, 44% Rayon, 6% Spandex', 'Gender': "" Men's"", 'Zipper': ' No Zipper', 'Size Range': "" Men's"", 'Moisture Wicking': ' No', 'Product Type': ' Sweatshirts', 'Age Group': "" Adults'"", 'Style': ' Pullover Sweatshirts', 'Hood': ' No'}",,"https://academy.scene7.com/is/image/academy/21590902?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21590903?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21590904?$pdp-xl-ng$",,,"Small,Medium,XXX Large,X Large,XX Large,Large",H.Charcoal
157287775,https://www.academy.com/p/nike-mens-ready-t-shirt,Nike Men's DF Ready T-shirt,Nike,47.0,47.0,,"Start training in the Nike Men's DF Ready T-shirt. Made of 92% polyester and 8% spandex for durability and stretch, this shirt comes with Dri-FIT technology for comfortable wear. The shirt also features the classic Nike Swoosh logo for a unique touch and angled raglan sleeves for maximum movement during wear.","{'Compression': ' No', 'Clothing Type': ' Athletic Shirts', 'Neckline': ' Crew Neck', 'Sleeve length': ' Short Sleeve', 'Material technology': ' Dri-FIT', 'Activity': ' Training', 'Material': ' 92% Polyester, 8% Spandex', 'Heat Retention': ' No', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' Yes', 'Care': ' Machine wash cold with similar colors, do not use bleach or softener, remove immediately; tumble dry low, cool iron, do not dry clean', 'Product Type': ' Shirts', 'Flame Resistant': ' No', 'Age Group': "" Adults'"", 'Style': ' Performance Tees', 'Features': ' Moisture Wicking', 'Hood': ' No'}",,"https://academy.scene7.com/is/image/academy/21452474?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21452475?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21452476?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21452477?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21452478?$pdp-xl-ng$",4.4,23,"Small,Medium,X Large,XX Large,Large",Diffused Blue/(Black)
161090490,https://www.academy.com/p/academy-sports-outdoors-mens-bugs-and-beer-neon-t-shirt,Academy Sports + Outdoors Men's Bugs And Beer Neon T-shirt,Academy Sports + Outdoors,9.99,9.99,,"Put your stylish side on display when you wear the Academy Sports + Outdoors Men's Bugs And Beer Neon T-shirt. The 100% cotton construction provides a soft, comfortable feel, while the screen-printed graphic design adds an eye-catching appearance.","{'Neckline': ' Crew Neck', 'Product Type': ' Shirts', 'Sleeve length': ' Short Sleeve', 'Age Group': "" Adults'"", 'Activity': ' Casual', 'Style': ' T-Shirts', 'Material': ' 100% cotton', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Care': ' Machine wash warm with like colors'}",,https://academy.scene7.com/is/image/academy/21564344?$pdp-xl-ng$,,,"Small,Medium,X Large,XX Large,Large",Black
161090377,https://www.academy.com/p/academy-sports-outdoors-mens-boilin-and-brewin-t-shirt,Academy Sports + Outdoors Men's Boilin And Brewin T-shirt,Academy Sports + Outdoors,9.99,9.99,,"Put your stylish side on display when you wear the Academy Sports + Outdoors Men's Boilin And Brewin T-shirt. The 100% cotton construction provides a soft, comfortable feel, while the screen-printed graphic design adds an eye-catching appearance.","{'Neckline': ' Crew Neck', 'Product Type': ' Shirts', 'Sleeve length': ' Short Sleeve', 'Age Group': "" Adults'"", 'Activity': ' Casual', 'Style': ' T-Shirts', 'Material': ' 100% cotton', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Care': ' Machine wash warm with like colors'}",,"https://academy.scene7.com/is/image/academy/21581767?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21581768?$pdp-xl-ng$",,,"Small,Medium,X Large,XX Large,Large",Sky
161089798,https://www.academy.com/p/academy-sports-outdoors-mens-id-pinch-dat-t-shirt,Academy Sports + Outdoors Men's I'd Pinch Dat T-shirt,Academy Sports + Outdoors,9.99,9.99,,"Put your stylish side on display when you wear the Academy Sports + Outdoors Men's I'd Pinch Dat T-shirt. The 100% cotton construction provides a soft, comfortable feel, while the screen-printed graphic design adds an eye-catching appearance.","{'Neckline': ' Crew Neck', 'Product Type': ' Shirts', 'Sleeve length': ' Short Sleeve', 'Age Group': "" Adults'"", 'Style': ' T-Shirts', 'Activity': ' Casual', 'Material': ' 100% cotton', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Care': ' Machine wash warm with like colors'}",,https://academy.scene7.com/is/image/academy/21581763?$pdp-xl-ng$,,,"Small,Medium,X Large,XX Large,Large",Mintâ
161098387,https://www.academy.com/p/nike-mens-hyverse-jogger-pants,Nike Men's Hyverse Jogger Pants,Nike,65.0,65.0,,"Head out for a run in comfort and style wearing these Nike Men's Hyverse Jogger Pants. Made of 100% smooth knit polyester, they feature Dri-FIT technology and UVA and UVB protection, wicking away sweat and keeping you dry while keeping harmful UV rays off your skin. The embroidered Swoosh logo adds a stylish accent to your workout ensemble.","{'Compression': ' No', 'Clothing Type': ' Athletic Pants', 'Material technology': ' Dri-FIT', 'Activity': ' Running', 'Material': ' 100% polyester', 'Heat Retention': ' No', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' Yes', 'Care': ' Machine wash cold with similar colors, do not use bleach or fabric softener; tumble dry low, iron on a cool setting, do not dry clean', 'Product Type': ' Pants', 'Age Group': "" Adults'"", 'Style': ' Joggers', 'Pant Length': ' Full'}",,"https://academy.scene7.com/is/image/academy/21477917?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21477918?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21477919?$pdp-xl-ng$",,,"Small,Medium,X Large,XX Large,Large",Diffused Blue/Diffused Blue/(Black)
161097851,https://www.academy.com/p/nike-mens-hyverse-fitness-pants,Nike Men's Hyverse Fitness Pants,Nike,65.0,65.0,,"Wear these Nike Men's Hyverse Fitness Pants next time you work out, and you're sure to stay comfortable. Their 100% double interlock knit polyester construction features Dri-FIT technology that wicks away sweat, keeping you comfortable and moisture-free.","{'Compression': ' No', 'Clothing Type': ' Athletic Pants', 'Material technology': ' Dri-FIT', 'Activity': ' Training', 'Material': ' 100% polyester', 'Heat Retention': ' No', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' Yes', 'Care': ' Machine wash cold with similar colors, do not use bleach or fabric softener; tumble dry low, iron on a cool setting, do not dry clean', 'Product Type': ' Pants', 'Age Group': "" Adults'"", 'Style': ' Athletic Pants', 'Pant Length': ' Full'}",,"https://academy.scene7.com/is/image/academy/21477905?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21477906?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21477907?$pdp-xl-ng$",,,"Small,Medium,X Large,XX Large,Large",Black/Black/(White)
161968952,https://www.academy.com/p/magellan-outdoors-mens-local-state-louisiana-graphic-crew-long-sleeve-t-shirt,Magellan Outdoors Men's Local State Louisiana Graphic Crew Long Sleeve T-shirt,Magellan Outdoors,29.99,29.99,,"Look your best when you wear the Magellan Outdoors Men's Local State Louisiana Graphic Crew Long Sleeve T-shirt. It is made of 100% recycled polyester. The moisture wicking technology keeps you dry and comfortable, and its UPF 50+ rating provides protection against the sun's harsh rays. The crew neckline creates a casual look.","{'Compression': ' No', 'Clothing Type': ' T-Shirts', 'Neckline': ' Crew Neck', 'Product Type': ' Shirts', 'Sleeve length': ' Long Sleeve', 'Age Group': "" Adults'"", 'Style': ' Graphic Tees', 'Activity': ' Casual', 'Material': ' 100% recycled polyester', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' Yes'}",,"https://academy.scene7.com/is/image/academy/21549558?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21549559?$pdp-xl-ng$",,,"Small,Medium,XXX Large,X Large,XX Large,Large",Navy 03
165676893,https://www.academy.com/p/columbia-sportswear-mens-csc-rafi-graphic-t-shirt,Columbia Sportswear Men's CSC Rafi Graphic T-shirt,Columbia Sportswear,20.0,20.0,,"Display your passion for the great outdoors with the Columbia Sportswear Men's CSC Rafi Graphic T-shirt. The cotton material provides a comfortable feel, while the graphic designs offer a stylish look.","{'Neckline': ' Crew Neck', 'Product Type': ' Shirts', 'Sleeve length': ' Short Sleeve', 'Age Group': "" Adults'"", 'Style': ' Graphic Tees', 'Activity': ' Casual', 'Material': ' 100% cotton', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' No', 'Care': ' Machine wash warm with like colors; tumble dry'}",,"https://academy.scene7.com/is/image/academy/21574021?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21574022?$pdp-xl-ng$",,,"Small,Medium,X Large,XX Large,Large",Light Blue 03
