2026-02-17 00:53:31,322 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-cold-weather-clothing/mens-jackets--outerwear/mens-vests
2026-02-17 00:53:31,733 | INFO | academy_scraper | found category Men's Winter Gloves with breadcrumb Academy > Men's > Men's Clothing > Men's Winter Clothing > Men's Winter Gloves
2026-02-17 00:53:31,733 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-cold-weather-clothing/mens-cold-weather-gloves
2026-02-17 00:53:33,118 | INFO | academy_scraper | found category Ski Masks + Balaclavas with breadcrumb Academy > Men's > Men's Accessories > Men's Hats > Ski Masks + Balaclavas
2026-02-17 00:53:33,118 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-accessories/mens-hats/ski-masks-balaclavas
2026-02-17 00:53:35,686 | INFO | academy_scraper | found category Men's Western Shirts with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's Western Shirts
2026-02-17 00:53:35,686 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/western-shirts
2026-02-17 00:53:36,294 | INFO | academy_scraper | found category Men's Flannel Shirts with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's Flannel Shirts
2026-02-17 00:53:36,294 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-flannel-shirts
2026-02-17 00:53:36,709 | INFO | academy_scraper | found category Men's Pullovers with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's Pullovers
2026-02-17 00:53:36,709 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-pullovers
2026-02-17 00:53:37,085 | INFO | academy_scraper | found category Men's Polos with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's Polos
2026-02-17 00:53:37,086 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-polos
2026-02-17 00:53:37,929 | INFO | academy_scraper | found category Men's Graphic Tees with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's T-shirts > Men's Graphic Tees
2026-02-17 00:53:37,929 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-tees/mens-graphic-tee-shirts
2026-02-17 00:53:38,750 | INFO | academy_scraper | found category Men's Solid T-Shirts with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's T-shirts > Men's Solid T-Shirts
2026-02-17 00:53:38,750 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-tees/mens-solid-shirts
2026-02-17 00:53:39,953 | INFO | academy_scraper | found category Men's Long Sleeve Shirts with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's Long Sleeve Shirts
2026-02-17 00:53:39,953 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-long-sleeve-shirts
2026-02-17 00:53:40,195 | INFO | academy_scraper | found category Men's Fishing Shirts with breadcrumb Academy > Outdoors > Fishing Gear + Equipment > Fishing Clothing > Fishing Shirts > Men's Fishing Shirts
2026-02-17 00:53:40,195 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/outdoors/fishing/fishing-shoes-clothing/fishing-shirts--t-shirts/mens-fishing-shirts
2026-02-17 00:53:41,094 | INFO | academy_scraper | found category Men's Button Up Shirts with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's Button Up Shirts
2026-02-17 00:53:41,094 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-button-downs
2026-02-17 00:53:41,934 | INFO | academy_scraper | found category Men's Tank Tops + Sleeveless Shirts with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's Tank Tops + Sleeveless Shirts
2026-02-17 00:53:41,934 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-tanks-and-muscle-tees
2026-02-17 00:53:42,412 | INFO | academy_scraper | found category Men's Denim Shirts with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's Denim Shirts
2026-02-17 00:53:42,412 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-denim-shirts
2026-02-17 00:53:42,731 | INFO | academy_scraper | found category Men's Compression Shirts + Tops with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's Compression Shirts + Tops
2026-02-17 00:53:42,731 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-compression-tops
2026-02-17 00:53:44,319 | INFO | academy_scraper | found category Men's Sweatpants + Joggers with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Sweatpants + Joggers
2026-02-17 00:53:44,319 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/mens-sweats-joggers
2026-02-17 00:53:45,120 | INFO | academy_scraper | found category Men's Slim Fit Jeans with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Jeans > Men's Slim Fit Jeans
2026-02-17 00:53:45,120 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/mens-jeans/mens-slim-fit-jeans
2026-02-17 00:53:46,945 | INFO | academy_scraper | found category Men's Stretch Jeans with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Jeans > Men's Stretch Jeans
2026-02-17 00:53:46,945 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/mens-jeans/mens-stretch-jeans
2026-02-17 00:53:47,766 | INFO | academy_scraper | found category Men's Bootcut Jeans with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Jeans > Men's Bootcut Jeans
2026-02-17 00:53:47,766 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/mens-jeans/mens-bootcut-jeans
2026-02-17 00:53:48,609 | INFO | academy_scraper | found category Men's Western Jeans with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Jeans > Men's Western Jeans
2026-02-17 00:53:48,609 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/mens-jeans/mens-western-jeans
2026-02-17 00:53:50,116 | INFO | academy_scraper | found category Men's Straight Leg Jeans with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Jeans > Men's Straight Leg Jeans
2026-02-17 00:53:50,116 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/mens-jeans/mens-straight-leg-jeans
2026-02-17 00:53:51,452 | INFO | academy_scraper | found category Men's Khaki + Chino Pants with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Khaki + Chino Pants
2026-02-17 00:53:51,452 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/khakis-chinos-technical
